Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
8 Dock Connectors to USB for iPhone,79851,POLICE STATE FELONY FORFEITURE,12/17/2013,20.56,$0.47 ,0.23,$4.72 ,$4.72 ,Successful,1/16/2014,,PSFF-34-054E,,,3604173065,"$3,000 ",$0.00 ,$15.83 ,Enterprise,0
8 Dock Connectors to USB for iPhone,79852,POLICE STATE FELONY FORFEITURE,12/17/2013,20.51,$0.47 ,0.23,$4.71 ,$4.71 ,Successful,1/16/2014,,PSFF-34-054F,,,3604173080,"$3,000 ",$0.00 ,$15.79 ,Enterprise,0
9 Cell Phone Batteries,79859,POLICE STATE FELONY FORFEITURE,12/17/2013,24,$0.55 ,0.23,$5.52 ,$5.52 ,Successful,1/16/2014,,PSFF-34-057C,,,3604199050,"$3,000 ",$0.00 ,$18.48 ,Enterprise,0
13 Cube Stereo Hands Free Adaptors,79860,POLICE STATE FELONY FORFEITURE,12/17/2013,22.01,$0.51 ,0.23,$5.06 ,$5.06 ,Successful,1/6/2014,,PSFF-34-057D,,,3603313691,"$3,000 ",$0.00 ,$16.94 ,Enterprise,0
2 Gevey Sim Cards,79865,POLICE STATE FELONY FORFEITURE,12/17/2013,4.5,$0.10 ,0.23,$1.03 ,$1.03 ,Successful,1/22/2014,,PSFF-24-057I,,,3604575703,"$3,000 ",$0.00 ,$3.46 ,Enterprise,0
Sharp Cash Register w/Pin Identifier Unit,79866,POLICE STATE FELONY FORFEITURE,12/17/2013,20.01,$0.46 ,0.23,$4.60 ,$4.60 ,Successful,1/22/2014,,PSFF-34-101,,,3604575709,"$3,000 ",$0.00 ,$15.40 ,Enterprise,0
Dell Laptop,79874,ITS,12/18/2013,75,$1.72 ,0.23,$17.25 ,$17.25 ,Successful,1/16/2014,,75417,,,3604211088,"$3,000 ",$0.00 ,$57.75 ,General Fund,0
Dell Laptop,79876,ITS,12/18/2013,73,$1.68 ,0.23,$16.79 ,$16.79 ,Successful,1/6/2014,,75413,,,3603336103,"$3,000 ",$0.00 ,$56.21 ,General Fund,0
Dell Laptop,79881,ITS,12/18/2013,65,$1.50 ,0.23,$14.95 ,$14.95 ,Successful,1/16/2014,,75433,,,3604173117,"$3,000 ",$0.00 ,$50.05 ,General Fund,0
Dell Computer System,79883,ITS,12/18/2013,73.51,$0.00 ,0.23,$16.90 ,$16.90 ,Successful,1/2/2014,,"75244, 75572",,,Money Order,"$3,000 ",$0.00 ,$56.60 ,General Fund,0
Dell Computer System,79885,ITS,12/18/2013,63.51,$0.00 ,0.23,$14.60 ,$14.60 ,Successful,1/2/2014,,"75237, 75305",,,Money Order,"$3,000 ",$0.00 ,$48.90 ,General Fund,0
8 Chairs,79895,NASHVILLE CONVENTION CTR,12/18/2013,84.05,$0.00 ,0.23,$19.33 ,$19.33 ,Successful,1/2/2014,,NCC-74912,,,Money Order,"$3,000 ",$0.00 ,$64.71 ,Enterprise,0
