Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Lockwood Coat Rack,79989,NASHVILLE CONVENTION CTR,1/9/2014,53.6,$1.23 ,0.23,$12.32 ,$12.32 ,Successful,1/9/2014,,NCC-75594,,,3603574580,"$3,000 ",$0.00 ,$41.27 ,Enterprise,0
4 Chairs,79990,NASHVILLE CONVENTION CTR,1/9/2014,21,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/11/2014,,"NCC-75584, NCC-75585, NCC-75586, NCC-75588",,,3603788125,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
3 Chairs,79991,NASHVILLE CONVENTION CTR,1/9/2014,12.06,$0.28 ,0.23,$2.77 ,$2.77 ,Successful,1/11/2014,,"NCC-75591, NCC-75592, NCC-75593",,,3603788913,"$3,000 ",$0.00 ,$9.28 ,Enterprise,0
Childrens Playset Items,79992,METRO ACTION,1/9/2014,57.01,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/10/2014,,"MAC-73972, MAC-73990, MAC-73991, MAC-74048, MAC-74092, MAC-74676, MAC-74684, MAC-74705",,,3603650687,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
Podium,79994,METRO ACTION,1/9/2014,12,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,1/13/2014,,MAC-74074,,,3603891882,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
3 Cambro Food Carts,79995,METRO ACTION,1/9/2014,308,$7.08 ,0.23,$70.84 ,$70.84 ,Successful,1/10/2014,,MAC-74033,,,3603722863,"$3,000 ",$0.00 ,$237.16 ,Enterprise,0
Kid Size U-Shaped Table,79996,METRO ACTION,1/9/2014,22.01,$0.51 ,0.23,$5.06 ,$5.06 ,Successful,1/14/2014,,MAC-74158,,,3603974335,"$3,000 ",$0.00 ,$16.94 ,Enterprise,0
11 Rugs,79997,METRO ACTION,1/9/2014,915,$0.00 ,0.23,$210.45 ,$210.45 ,Successful,1/14/2014,,MAC-74142,,,Cashiers Check,"$3,000 ",$0.00 ,$704.55 ,Enterprise,0
Care Play Art Easel,79998,METRO ACTION,1/9/2014,9.5,$0.22 ,0.23,$2.18 ,$2.18 ,Successful,1/12/2014,,MAC-74076A,,,3603839966,"$3,000 ",$0.00 ,$7.31 ,Enterprise,0
Counter w/Sink,79999,METRO ACTION,1/9/2014,6,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/11/2014,,MAC-73971,,,3603773024,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Pro Cart II Mobile Treatment Console,80000,METRO ACTION,1/9/2014,156.99,$3.61 ,0.23,$36.10 ,$36.10 ,Successful,1/9/2014,,MAC-74075,,,3603586986,"$3,000 ",$0.00 ,$120.88 ,Enterprise,0
Wooden Shelf,80001,METRO ACTION,1/9/2014,14,$0.32 ,0.23,$3.22 ,$3.22 ,Successful,1/9/2014,,MAC-72580,,,3603583018,"$3,000 ",$0.00 ,$10.78 ,Enterprise,0
10 Chairs,80004,METRO ACTION,1/9/2014,13,$0.30 ,0.23,$2.99 ,$2.99 ,Successful,1/14/2014,,"MAC-73087, MAC-73656, MAC-73675, MAC-73705, MAC-74093, MAC-74094, MAC-74095, MAC-74097, MAC-74099, MAC-74699",,,3603974942,"$3,000 ",$0.00 ,$10.01 ,Enterprise,0
HP Color Laser Jet 4600 Printer,80006,METRO ACTION,1/9/2014,153,$3.52 ,0.23,$35.19 ,$35.19 ,Successful,1/12/2014,,MAC-73982,,,3603827151,"$3,000 ",$0.00 ,$117.81 ,Enterprise,0
